"Abundance: F1: Sample, NCL_VEH","Abundance: F2: Sample, NCL_LNA","Abundance: F3: Sample, NCL_ION","Abundance: F4: Sample, CL_VEH","Abundance: F5: Sample, CL_LNA","Abundance: F6: Sample, CL_ION","Abundance: F7: Sample, NCL_VEH","Abundance: F8: Sample, NCL_LNA","Abundance: F9: Sample, NCL_ION","Abundance: F10: Sample, CL_VEH","Abundance: F11: Sample, CL_LNA","Abundance: F12: Sample, CL_ION","Abundance: F13: Sample, NCL_VEH","Abundance: F14: Sample, NCL_LNA","Abundance: F15: Sample, NCL_ION","Abundance: F16: Sample, CL_VEH","Abundance: F17: Sample, CL_LNA","Abundance: F18: Sample, CL_ION"
,,,,,,,,,,,,,,,,,
,,,,,39810.90234,184838.4375,219396.75,,67363.46094,796241.9375,,,,,513723.6875,66727.10938,
,,,,,,,,,,,315651.4688,,,,,,
,,,,,,,,,89211.60156,,390475.875,,223665.75,,,,
4812570.5,1899141.25,1094668.25,800714.6914,,,2077551.828,1514283.588,21938254,158756.7773,478299.6953,150109.625,2091716.375,183968.2344,343060.1563,366583.0313,,
,,,,,,184684.3125,,,,131701.0938,538094.875,,,,,,32330.67188
638412.6875,30140.16016,370000.0166,,56364.0332,17334.01758,,256145.6406,,,337632,394301.2188,,504809.8438,,,72125.61719,23590.23633
,,,,,,,,,,,,,,,,,
,,,,,65144.71094,47354.23438,,,,,349000.0313,,256528.0469,,,,188103.8438
,,3535106.75,,,506767.7813,,143623.0156,783154.5625,,258555.125,2336202.75,,590842.1875,1594508.156,,578062.6875,923365.25
,,6240495,,,127500.0938,,,,,,4382817,,,6267210.5,,,712740.875
,,,,61414.20703,24621.04883,,,,,,314199.4688,,,,,,105955.6719
,,,,,,,,,,,1645731.375,,,,,,
,,,,,,,,,,,,,,,,,
,,,217273.9063,,,369866.7188,251389.9375,33833.08984,37295.39453,283358.5,,9949.708008,75484.46875,,69522.90625,,51117.80859
,,,4403127.875,181652.1094,7053.288086,3477115.25,4805711.75,,1359666.438,2110453.25,416329.4375,,1198112.313,,543939.6641,,521387.4023
,,,,,,,,,,,,,,,,,
,,,,,,232039.0586,,116502.1406,,274137.3359,406821.9375,,,,,71511.03125,
,,,,,,,,,,,294400.5938,,,,,,
